# GREAT version 4.0.4	Species assembly: hg19	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
# Ontology summary statistics are provided in the footer.
#
# Ontology	ID	Desc	BinomRank	BinomP	BinomBonfP	BinomFdrQ	RegionFoldEnrich	ExpRegions	ObsRegions	GenomeFrac	SetCov	HyperRank	HyperP	HyperBonfP	HyperFdrQ	GeneFoldEnrich	ExpGenes	ObsGenes	TotalGenes	GeneSetCov	TermCov	Regions	Genes
Ensembl Genes	10396	SHANK1	1	1.470839e-9	2.728259e-5	2.728259e-5	2.901499e+2	1.378598e-2	4	2.757196e-5	8.000000e-3	1	3.897784e-2	1.000000e+0	1.000000e+0	2.565560e+1	3.897784e-2	1	1	1.383126e-3	1.000000e+0	unnamed,unnamed,unnamed,unnamed	SHANK1
Ensembl Genes	13166	PPARA	2	1.755988e-9	3.257182e-5	1.628591e-5	1.069395e+2	4.675539e-2	5	9.351078e-5	1.000000e-2	1	3.897784e-2	1.000000e+0	1.000000e+0	2.565560e+1	3.897784e-2	1	1	1.383126e-3	1.000000e+0	unnamed,unnamed,unnamed,unnamed,unnamed	PPARA
Ensembl Genes	9187	ZNF236	3	2.218182e-9	4.114506e-5	1.371502e-5	5.436563e+1	1.103638e-1	6	2.207277e-4	1.200000e-2	1	3.897784e-2	1.000000e+0	1.000000e+0	2.565560e+1	3.897784e-2	1	1	1.383126e-3	1.000000e+0	unnamed,unnamed,unnamed,unnamed,unnamed,unnamed	ZNF236
Ensembl Genes	11109	LOXL3	4	1.217573e-8	2.258476e-4	5.646190e-5	7.154565e+2	4.193127e-3	3	8.386254e-6	6.000000e-3	1	3.897784e-2	1.000000e+0	1.000000e+0	2.565560e+1	3.897784e-2	1	1	1.383126e-3	1.000000e+0	unnamed,unnamed,unnamed	LOXL3
Ensembl Genes	76	PRDM16	5	1.775204e-8	3.292826e-4	6.585652e-5	6.701931e+1	7.460537e-2	5	1.492107e-4	1.000000e-2	1	3.897784e-2	1.000000e+0	1.000000e+0	2.565560e+1	3.897784e-2	1	1	1.383126e-3	1.000000e+0	unnamed,unnamed,unnamed,unnamed,unnamed	PRDM16
Ensembl Genes	10394	SYT3	6	2.454066e-8	4.552047e-4	7.586745e-5	1.431605e+2	2.794067e-2	4	5.588133e-5	8.000000e-3	1	3.897784e-2	1.000000e+0	1.000000e+0	2.565560e+1	3.897784e-2	1	1	1.383126e-3	1.000000e+0	unnamed,unnamed,unnamed,unnamed	SYT3
Ensembl Genes	13163	WNT7B	7	2.937688e-8	5.449117e-4	7.784454e-5	6.051667e+1	8.262186e-2	5	1.652437e-4	1.000000e-2	1	3.897784e-2	1.000000e+0	1.000000e+0	2.565560e+1	3.897784e-2	1	1	1.383126e-3	1.000000e+0	unnamed,unnamed,unnamed,unnamed,unnamed	WNT7B
Ensembl Genes	77	ARHGEF16	8	5.667941e-8	1.051346e-3	1.314183e-4	5.296000e+1	9.441088e-2	5	1.888218e-4	1.000000e-2	1	3.897784e-2	1.000000e+0	1.000000e+0	2.565560e+1	3.897784e-2	1	1	1.383126e-3	1.000000e+0	unnamed,unnamed,unnamed,unnamed,unnamed	ARHGEF16
Ensembl Genes	7657	KLHDC4	9	1.813396e-7	3.363668e-3	3.737409e-4	8.651617e+1	4.623413e-2	4	9.246827e-5	8.000000e-3	1	3.897784e-2	1.000000e+0	1.000000e+0	2.565560e+1	3.897784e-2	1	1	1.383126e-3	1.000000e+0	unnamed,unnamed,unnamed,unnamed	KLHDC4
Ensembl Genes	11110	DOK1	10	8.202317e-7	1.521448e-2	1.521448e-3	1.752705e+2	1.711640e-2	3	3.423280e-5	6.000000e-3	1	3.897784e-2	1.000000e+0	1.000000e+0	2.565560e+1	3.897784e-2	1	1	1.383126e-3	1.000000e+0	unnamed,unnamed,unnamed	DOK1
